,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.286570510778685,,Intercept,314.6500903296546,315.0,0.34990967034542564,315.0
1,1,grade:A,1.1555801781585318,2.0515837740663566e-37,grade,89.10009861584768,89.0,-0.10009861584768487,89.0
2,2,grade:B,0.9129331308378681,2.7376732165732894e-51,grade,70.39098932706807,70.0,-0.39098932706806977,70.0
3,3,grade:C,0.7163798752531954,2.2302658162986623e-37,grade,55.235905511276194,55.0,-0.23590551127619364,55.0
4,4,grade:D,0.525329444723071,4.199337292466997e-23,grade,40.50511268307061,41.0,0.49488731692939325,41.0
5,5,grade:E,0.3422653399530853,3.049564454842193e-13,grade,26.39009920644629,26.0,-0.3900992064462905,26.0
6,6,grade:F,0.15220084280613727,0.0018134071450615467,grade,11.73532599447335,12.0,0.26467400552665055,12.0
7,7,home_ownership:OWN,0.0937139618280816,3.283228714435209e-06,home_ownership,7.225741145776513,7.0,-0.22574114577651283,7.0
8,8,home_ownership:MORTGAGE,0.10621771440944765,4.431426941231902e-17,home_ownership,8.189833131019128,8.0,-0.18983313101912813,8.0
9,9,addr_state:NM_VA,0.03609831109112676,0.2594279957476259,addr_state,2.783331817970744,3.0,0.21666818202925597,3.0
10,10,addr_state:NY,0.05779270468857068,0.016986798872270132,addr_state,4.456060933161648,4.0,-0.4560609331616483,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05982995449737082,0.00972271498938973,addr_state,4.613141473569038,5.0,0.3868585264309621,5.0
12,12,addr_state:CA,0.06394915750601886,0.002537040038226957,addr_state,4.930749374107883,5.0,0.06925062589211706,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.0789835015364871,0.0015137755486420161,addr_state,6.089960617999201,6.0,-0.08996061799920074,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1369481579470925,1.1511983076913727e-09,addr_state,10.559279753127303,11.0,0.4407202468726972,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165539706842323,0.0006560029522612408,addr_state,7.838059249219038,8.0,0.16194075078096226,8.0
16,16,addr_state:GA_WA_OR,0.18574572327475875,3.2005967976846173e-12,addr_state,14.321777557335794,14.0,-0.3217775573357944,14.0
